Nº,FECHA,AUTOR,TITULO,EDITORIAL,ISBN,D,PUCCI NELIDA
1,11/26/2008," Segal, Erich",Love Story Historia de amor (Novela)," Argentina : EMECE Ed. S.A., 1970. ",ISBN : ,D    ,Pucci Nelida
2,11/16/2008, Alvarez y Otros,Nexos (Poesía)," Argentina :  PANORAMA GRAFICO, 1998. ",ISBN : 987-96190-9-9,D,Pucci Nelida
3,11/26/2008," Sheldon, Sidney",Mas alla de la medianoche (Novela)," Argentina : Emecé S.A., 1974. ",ISBN : 950-04-0085-0,D,Pucci Nelida
4,11/26/2008," Saénz, Dalmiro",Mujer ganadora La novela de ser una misma," Argentina : Ed. Planeta, 1996. ",ISBN : 950-742-719-8 ,D,Pucci Nelida
5,11/26/2008, Quiroga Horacio,A la deriva y otros cuentos," Argentina : Losada, 2001. ",ISBN : 84-95594-64-1,D,Pucci Nelida
6,11/26/2008," Allende, Isabel",La casa de los espíritus," Agentina : Ed. SUDAMERICANA, 1991. ",ISBN : 950-07-0291-6,D,Pucci Nelida
7,11/26/2008," Montesco, Lola",Lady Di . Los Protaginstas," Argentina : Ed. CINCO E.C.S.A., 2004. ",ISBN : 987-1129-14-9,D,Pucci Nelida
8,11/26/2008, Cámara Argentina del Libro,Vamos a leer cuentos argentinos," Argentina : Arco Iris Impresiones S.A., 2001. ",ISBN : 950-9394-35-1,D,Pucci Nelida
9,11/26/2008, Alvarez Marta,Gabriel el Enviado (Poesía)," Argentina : Paraná, 1998. ",ISBN : 950-43-9122-2,D,Pucci Nelida
11,11/26/2008," Luna, Félix",José de San Martín. Gendes Protagonistas de la Hist. Arg.," Argentina : Grupo Ed. Planeta, 2004. ", ISBN : 950-49-1246-X ,D,Pucci Nelida
12,11/26/2008," Luna, Félix",Juan B. Alberdi. Grandes Protagonistas de la Hist. Arg.," Argentina : Grupo Ed. Planeta, 2004. ", ISBN : 950-49-1256-7,D,Pucci Nelida
13,11/26/2008," Steimbeck, John",La taza de oro (Novela histórica)," Argentina : Ed., 2006. ",ISBN : 987-04-0451-0,D,Pucci Nelida
14,11/26/2008,"  Haasse, Hella S.",La ciudad escarlata (Novela histórica)," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006 ",                     399p. ; 20cm.,,
15,11/26/2008," Mahfuz, Naguib",Akhenatón (Novela histórica)," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006",                     174p. ; 20cm.,,
16,11/26/2008," Dyer, Wayne W.",El camino de la perfección (Pensamientos que ayudan a mejorar)," España : Ed. Grijalbo, 1995. ",ISBN : 84-253-2629-X,D,Pucci Nelida
18,11/26/2008," Otero,Rodolfo",El secreto del Torreón Negro," Argentina : Ed.LOSADAS.A., 2002. ",ISBN : 950-03-7810-8  ,D,Pucci Nelida
19,11/26/2008," Eddy, Paul",Una cara de la moneda," Argentina : HISPAMERICA, 1983. ",ISBN : 950-614-020-0,D,Pucci Nelida
20,11/26/2008," Sueiro, Victor",Más allá de la vida," Argentina : Ed. Planeta, 1990. ",ISBN : 950-742-021-2,D,Pucci Nelida
21,11/26/2009, NOTICIAS Edición Homenaje,René Favaloro. De La Pampa a Los Estados Unidos," Argentina : Ed. Perfil, 2000. ",ISBN : 950-639-520-9,D,Pucci Nelida
22,2/12/2009," Averbach, Luján y Otros",20 de animales," Argentina :  Ed. Sudamericana S.A., 1997. ",ISBN : 950-07-1368-3,D,Graciela I. de Genolet
23,2/12/2009," Applegate, K. A.",Lo olvidado," Argentina : ENECE, 1997. ", ISBN : 950-04-2165-8,D,Graciela I. de Genolet
24,2/12/2009," Cazenave, Walter y Otros",Epopeyas Pampeanas, Argentina : Instituto Movilizador de Fondos Cooperativos ,                     Subsc. De Cultura de La Pampa,,
25,2/12/2009," Salgari, Emilio",Los dos trigres," Argentina : Ed. Atlántida, 1974. ",,,
26,2/12/2009," Pairault, Suzanne",Lassie y Joe," Argentina : KAPELUSZ,1964. ",,,
27,2/12/2009," Stevenson, Robert Lois",La Isla del Tesoro," Argentina : Ed. Difusión S.A., 1967. ",,,
28,2/12/2009," Alcott, Luisa M.",Hombrecitos," Argentina : Ed. Difusión S.A., 1966. ",,,
29,2/12/2009," Twain, Mark",Aventuras de Tom Sawyer," Argentina : Ed. Atlántida, 1943. ",,,
30,2/12/2009, Ediciones SOLQUIN,La Caperucita Roja," Barcelona : Ed. ULTRAMAR S.A., 2000  ",,,
31,2/12/2009, Colección Pasatiempos,Caperucita Roja," España : Ed. Saldaña S.A., ",ISBN : 84-7297-161-9,D,Graciela I. de Genolet
32,2/12/2009, Ediciones SOLQUIN,El Patito Feo," Barcelona : Ed. ULTRAMAR S.A., 2000. ",,,
33,2/12/2009," Andersen, H. C.",El Patito Feo," España : Ed. Sirven Grafic S. A., 1989. ",ISBN : 84-7712-226-1,D,Graciela I. de Genolet
34,2/12/2009, LATIN BOOKS,El Colibrí y Las Flores," Uruguay : Ed. SUDAMER S.A., ",ISBN : 9974-7729-1-5,D ,Graciela I. de Genolet
35,2/12/2009," Cinetto, Liliana ",El Chivo y La Hormiga,"Uruguay : Ed. SUDAMER S. A., ",ISBN : 9974-7730-2-4,D,Graciela I. de Genolet
36,2/12/2009, Disney,La Bella y La Bestia," Argentina : Ed. Norma, 1992. ",isbn : 958-04-1956-6,D,Graciela I. de Genolet
37,2/12/2009, Disney,Princesa de Porcelana," Argentina : Ed. Planeta DeAgostini, ",ISBN : 84-395-3139-X,D,Graciela I.de Genolet
38,2/12/2009," Granata, María",El Río Turuntún y una Orquesta Original," Argentina : Ed. Signar S.A., 1997. ",isbn : 950-11-1116-4,D,Graciela I. de Genolet
39,2/12/2009, Colección Arlequín,La Sirenita," España : Ed. Susaeta, ",,,
40,2/12/2009," Vigil, Constancio C.",La liebre y la tortuga," Argentina : Ed. Atlántida,1963. ",,,
41,2/12/2009," Dalmais, Anne Marie",Piscolabis a medianoche," España : Ed. EVEREST S.A., 1984. ",ISBN : 84-241-2224-2,D,Graciela I. de Genolet
42,2/12/2009," Cabal, Graciela Beatriz",Una cadena muy importante,La Cadena Alimentaria," Argenytina : ALFAGUARA, 1988. ; il. ; 39p. ; 21 cm.",,
43,2/12/2009, Publicaciones Fher,Peter Pan," España : Ed. Fher S.A., ",ISBN : 84-243-3448-5,D,Graciela I. de Genolet
44,2/12/2009, Estrella de Mar,La Bella y La Bestia," España _ Es susaeta S.A., ",ISBN : 84-305-8095-6,D,Graciela I. de Genolet
45,2/12/2009, LATINBOOKS,El respeto por la vida," Uruguay : Ed. SUADAMER S.A., ",ISBN : 9974-7724-8-6,D,Graciela I. de Genolet
