FECHA,AUTOR,TITULO,EDITORIAL,ISBN,D,PERSONA,ESTADO,USUARIO
2008-11-26," Segal, Erich","Love Story Historia de amor (Novela)"," Argentina : EMECE Ed. S.A., 1970. ","ISBN :",D,"Pucci Nelida",Prestado,
2008-11-16,"Alvarez y Otros","Nexos (Poesía)"," Argentina :  PANORAMA GRAFICO, 1998. ","ISBN : 987-96190-9-9",D,"Pucci Nelida",Disponible,
2008-11-26," Sheldon, Sidney","Mas alla de la medianoche (Novela)"," Argentina : Emecé S.A., 1974. ","ISBN : 950-04-0085-0",D,"Pucci Nelida",Disponible,
2008-11-26," Saénz, Dalmiro","Mujer ganadora La novela de ser una misma"," Argentina : Ed. Planeta, 1996. ","ISBN : 950-742-719-8",D,"Pucci Nelida",,
2008-11-26,"Quiroga Horacio","A la deriva y otros cuentos"," Argentina : Losada, 2001. ","ISBN : 84-95594-64-1",D,"Pucci Nelida",,
2008-11-26," Allende, Isabel","La casa de los espíritus"," Agentina : Ed. SUDAMERICANA, 1991. ","ISBN : 950-07-0291-6",D,"Pucci Nelida",,
2008-11-26," Montesco, Lola","Lady Di . Los Protaginstas"," Argentina : Ed. CINCO E.C.S.A., 2004. ","ISBN : 987-1129-14-9",D,"Pucci Nelida",,
2008-11-26,"Cámara Argentina del Libro","Vamos a leer cuentos argentinos"," Argentina : Arco Iris Impresiones S.A., 2001. ","ISBN : 950-9394-35-1",D,"Pucci Nelida",Disponible,
2008-11-26,"Alvarez Marta","Gabriel el Enviado (Poesía)"," Argentina : Paraná, 1998. ","ISBN : 950-43-9122-2",D,"Pucci Nelida",,
2008-11-26," Luna, Félix","José de San Martín. Gendes Protagonistas de la Hist. Arg."," Argentina : Grupo Ed. Planeta, 2004. ","ISBN : 950-49-1246-X",D,"Pucci Nelida",,
2008-11-26," Luna, Félix","Juan B. Alberdi. Grandes Protagonistas de la Hist. Arg."," Argentina : Grupo Ed. Planeta, 2004. ","ISBN : 950-49-1256-7",D,"Pucci Nelida",,
2008-11-26," Steimbeck, John","La taza de oro (Novela histórica)"," Argentina : Ed., 2006. ","ISBN : 987-04-0451-0",D,"Pucci Nelida",,
2008-11-26,"  Haasse, Hella S.","La ciudad escarlata (Novela histórica)"," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006 ","399p. ; 20cm.",,,,
2008-11-26," Mahfuz, Naguib","Akhenatón (Novela histórica)"," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006","174p. ; 20cm.",,,,
2008-11-26," Dyer, Wayne W.","El camino de la perfección (Pensamientos que ayudan a mejorar)"," España : Ed. Grijalbo, 1995. ","ISBN : 84-253-2629-X",D,"Pucci Nelida",,
2008-11-26," Otero,Rodolfo","El secreto del Torreón Negro"," Argentina : Ed.LOSADAS.A., 2002. ","ISBN : 950-03-7810-8",D,"Pucci Nelida",,
2008-11-26," Eddy, Paul","Una cara de la moneda"," Argentina : HISPAMERICA, 1983. ","ISBN : 950-614-020-0",D,"Pucci Nelida",,
2008-11-26," Sueiro, Victor","Más allá de la vida"," Argentina : Ed. Planeta, 1990. ","ISBN : 950-742-021-2",D,"Pucci Nelida",Disponible,
2009-11-26,"NOTICIAS Edición Homenaje","René Favaloro. De La Pampa a Los Estados Unidos"," Argentina : Ed. Perfil, 2000. ","ISBN : 950-639-520-9",D,"Pucci Nelida",,
2009-12-02," Averbach, Luján y Otros","20 de animales"," Argentina :  Ed. Sudamericana S.A., 1997. ","ISBN : 950-07-1368-3",D,"Graciela I. de Genolet",,
2009-12-02," Applegate, K. A.","Lo olvidado"," Argentina : ENECE, 1997. ","ISBN : 950-04-2165-8",D,"Graciela I. de Genolet",,
2009-12-02," Cazenave, Walter y Otros","Epopeyas Pampeanas","Argentina : Instituto Movilizador de Fondos Cooperativos","Subsc. De Cultura de La Pampa",,,,
2009-12-02," Salgari, Emilio","Los dos trigres"," Argentina : Ed. Atlántida, 1974. ",,,,,
2009-12-02," Pairault, Suzanne","Lassie y Joe"," Argentina : KAPELUSZ,1964. ",,,,,
2009-12-02," Stevenson, Robert Lois","La Isla del Tesoro"," Argentina : Ed. Difusión S.A., 1967. ",,,,,
