AUTOR,TITULO
" Segal, Erich",Love Story Historia de amor (Novela)
Alvarez y Otros,Nexos (Poesía)
" Sheldon, Sidney",Mas alla de la medianoche (Novela)
" Saénz, Dalmiro",Mujer ganadora La novela de ser una misma
Quiroga Horacio,A la deriva y otros cuentos
" Allende, Isabel",La casa de los espíritus
" Montesco, Lola",Lady Di . Los Protaginstas
Cámara Argentina del Libro,Vamos a leer cuentos argentinos
Alvarez Marta,Gabriel el Enviado (Poesía)
" Luna, Félix",José de San Martín. Gendes Protagonistas de la Hist. Arg.
" Luna, Félix",Juan B. Alberdi. Grandes Protagonistas de la Hist. Arg.
" Steimbeck, John",La taza de oro (Novela histórica)
"  Haasse, Hella S.",La ciudad escarlata (Novela histórica)
" Mahfuz, Naguib",Akhenatón (Novela histórica)
" Dyer, Wayne W.",El camino de la perfección (Pensamientos que ayudan a mejorar)
" Otero,Rodolfo",El secreto del Torreón Negro
" Eddy, Paul",Una cara de la moneda
" Sueiro, Victor",Más allá de la vida
NOTICIAS Edición Homenaje,René Favaloro. De La Pampa a Los Estados Unidos
" Averbach, Luján y Otros",20 de animales
" Applegate, K. A.",Lo olvidado
" Cazenave, Walter y Otros",Epopeyas Pampeanas
" Salgari, Emilio",Los dos trigres
" Pairault, Suzanne",Lassie y Joe
" Stevenson, Robert Lois",La Isla del Tesoro
" Alcott, Luisa M.",Hombrecitos
" Twain, Mark",Aventuras de Tom Sawyer
Ediciones SOLQUIN,La Caperucita Roja
Colección Pasatiempos,Caperucita Roja
Ediciones SOLQUIN,El Patito Feo
" Andersen, H. C.",El Patito Feo
LATIN BOOKS,El Colibrí y Las Flores
" Cinetto, Liliana ",El Chivo y La Hormiga
Disney,La Bella y La Bestia
Disney,Princesa de Porcelana
" Granata, María",El Río Turuntún y una Orquesta Original
Colección Arlequín,La Sirenita
" Vigil, Constancio C.",La liebre y la tortuga
" Dalmais, Anne Marie",Piscolabis a medianoche
" Cabal, Graciela Beatriz",Una cadena muy importante
Publicaciones Fher,Peter Pan
Estrella de Mar,La Bella y La Bestia
LATINBOOKS,El respeto por la vida
Distribuidora Valenciana,Los tres cerditos
Diney,Tierra de Osos
Disney,Chicken little
Disney,Buscando a Nemo. El reencuentro
Foundatión Books S.A.,La Cenicienta
" Serrano, Maria Laura",Gatos y Gatitos
" Wadswoth, Wallace C.",Los siete gatos maravillosos
" Sonneborn, Ruth A.",Alguién está comiendo al sol
" Heap, Sue",Espera y Verás
" Asor, Mercedes",Caballito
Disney,Bambi 2
Biblioteca SALVAT,Viajes Espaciales
" Scgmitz, Siegfried",Terrario Ciencia Juvenil
" De La Grange, Francois - Reille, Antoine",Las aves y sus secretos
" León, María Teresa",El Cid Campeador
" de Carvantes Saavedra, Miguel",Rinconete y cortadillo
Biblioteca SALVAT,Viajes Espaciales
" Fernández de Moratín, Leandro",El si de las niñas
" Obligado, Rafael",Poesías completas
" Benavente, Jacinto",Los intereses creados
" De la Barca, Calderón",El Alcalde de Zalamea
" De la Barca, Calderón",La vida es sueño
" Melville, Hernán",Bartley el escribiente
" Hoffmann, E. T. A.",El Voto
Stendhal,Vanina Vanini
" Chesterton, Gilbert Keith",El Paraíso de los ladrones
" London, Jack",El hombre de la cicatriz y otras narraciones
" Hoffmann, E .T. A.",La casa vacía
" Chesterton, Gilbert Keit",Las muertes de los Pendragon
" Griene, Grahan",El Terder Hombre
" De Rojas, Fernanado",La Celestina
" De Quevedo, Francisco",La vida del buscón llamado Don Pablos
" Becquer, Gustavo A.","Rimas, Artículos y Leyendas"
" De Maupassant, Guy",Cuentos de guerra
" De Maupassant, Guy",Un parricida
Stendhal,Vanina Vanini
" García Lorca, Federico",Doña Rosita La Soltera
De Maupossant,Magnetismo y otros cuentos
" Melville, Hermann","Belly Bud, Marinero "
" García Lorca, Federico",Doña Rosita La Soltera
" Mayor de Piérola, Amanda","Amanda, dolor y esperanza"
" De Maupassant, Guy",Un Parricida
" Wells, Hebert G.",La máquina del tiempo
" Fernández de Moratín, Leandro",El Sí de las Niñas
" de L'Isle, Villiers - Philippe, Adam",Vox Populi y otros cuentos crueles
" De Maupassant, Guy",Cuentos de guerra
" Hernández, Miguel",Antología
" Melville, Herman",Benito Sereno
" De Cervantes Saavedra, Miguel",La Gitanilla
" Becquer, Gustavo Adolfo",Rimas
" Bullrich, Silvina",¿A qué hora murió el enfermo?
" Quiroga, Horacio",El Potro Salvaje
Stendhal,Los Cenci. La Duquesa de Palliano
" Terzi, Mariela - Ortega, Emilio",100 Barcos de Vapor
" Wilde, Oscar",El Fantasma de Canterville
Stendhal,Relatos
" Gorki, Maximo",Malva
" Gogol, Nicolás",El Retrato
" Kipling, Rudyard",Rikki - Tikki - Tavi y otras historias de la selva
" Conan Doyle, Arthr",El carbúmclo azul
" Bande, Manuel",Fortín La Soledad
" Valera, Juan",Pepita Jiménez
" Bullrich, Silvina",Mañana digo basta
" de Ibarbourou, Juana",Chico Carlo
" Casona, Alejandro",Los árboles mueren de pie
Asociación Santafesina de Escritores,Mesa de Homenajes
" London, Jack",Diablo
" Machado, Antonio",Antología
" de Cervantes Saavedrta, Miguel",Novelas Ejemplares
" Flavín, Martín",El Hechizado
"  London, Jack",La huelga general
" Renata, Eugenia",Podemos juntar flores
" Conrad, Josepe",La posada de las dos brujas
" Machado, antonio",Los Máximos Creadores
" Chejov, Anton",El Monje Negro
" Neruda, Pablo",Los Máximos Creadores
" Lafond, Jaques",Las mejores recetas con soja
WATCH TOWER BIBLE AND TRACT SOCIETY OF,PENNSILVANIA INTERNATIONAL BIBLE STUDENTS
" Vecchioli, Mario R.",Obra Poética édita e inédita
" Seton, Anya",Verde Oscuridad -Novela Romántica
" Bande, Manuel",Cuentos de por aquí nomas
Goethe,Werther
" Conan Doyle, Arthur",Sherlock Holmes El aristócrata solterón
" de Quincey, Thomas",La rebelión de los tártaros
" Bierce, Ambrose",Los ojos de la pantera y otros relatos
" Bierce, Ambrose",Un jinete por el cielo
" Chesterton, Gilbert Keith",El candor del Padre Brown
" Sabato, Ernesto",Informe sobre ciegos
" Bret Harte, Francis",El MONTE DEL Diablo y otros relatos
" Goglo, Nikolai V.",El Capote
" Kafka,Franz",La Metamorfosis
" Bullrich, Silvina",Los Pasajeros del Jardín
" Ribeiro, Alex",¿Quién ganó la COPA MUNDIAL?
" Puig, Manuel",Boquitas pintadas
" Ramos-Olivera, Antonio",La Vida de un Rey Memorias del duque de Windsor
Imaginador,Diseños de tortas para fiestas
" Cornwell, Patricia",Predator
" De Santais, Pablo",El enigma de París
" Colin A, Roman",Secretos del cosmos
" De Vega, Lope",FUENTEOVEJUNA
" Del Campo, Estanislao",FAUSTO
" De Rojas, Fernanado",La Celestina
" Dumas, Alejandro",Los Tres Mosqueteros
READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos
READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos
