Nº,Autor,Título,Editorial,ISBN
1," Segal, Erich",Love Story Historia de amor (Novela)," Argentina : EMECE Ed. S.A., 1970. ; 191p. ; 18cm.",ISBN : 
2, Alvarez y Otros,Nexos (Poesía)," Argentina :  PANORAMA GRAFICO, 1998. ; 110p. ; 19cm.",ISBN : 987-96190-9-9
3," Sheldon, Sidney",Mas alla de la medianoche (Novela)," Argentina : Emecé S.A., 1974. ; 428p. ; 19cm.",ISBN : 950-04-0085-0
4," Saénz, Dalmiro",Mujer ganadora La novela de ser una misma," Argentina : Ed. Planeta, 1996. ; 244p. ; 21cm.",ISBN : 950-742-719-8 
5, Quiroga Horacio,A la deriva y otros cuentos," Argentina : Losada, 2001. ; 172p. ; 21cm.",ISBN : 84-95594-64-1
6," Allende, Isabel",La casa de los espíritus," Agentina : Ed. SUDAMERICANA, 1991. ; 363p. ; 19cm.",ISBN : 950-07-0291-6
7," Montesco, Lola",Lady Di . Los Protaginstas," Argentina : Ed. CINCO E.C.S.A., 2004. ; 94p. ; 19cm.",ISBN : 987-1129-14-9
8, Cámara Argentina del Libro,Vamos a leer cuentos argentinos," Argentina : Arco Iris Impresiones S.A., 2001. ; 126p. ; 19cm.",ISBN : 950-9394-35-1
9, Alvarez Marta,Gabriel el Enviado (Poesía)," Argentina : Paraná, 1998. ; 88p. ; 20cm.",ISBN : 950-43-9122-2
10," Luna, Félix",Julio A. Rocca. Grandes Protagonistas de la Hist. Arg.," Argentina : Grupo Ed. Planeta, 2004. ; il. ; 158p. ; 22cm.", ISBN : 950-49-1253-2
11," Luna, Félix",José de San Martín. Gendes Protagonistas de la Hist. Arg.," Argentina : Grupo Ed. Planeta, 2004. ; il. ; 158p. ; 22cm.", ISBN : 950-49-1246-X 
12," Luna, Félix",Juan B. Alberdi. Grandes Protagonistas de la Hist. Arg.," Argentina : Grupo Ed. Planeta, 2004. ; il. ; 147p. ; 22cm.", ISBN : 950-49-1256-7
13," Steimbeck, John",La taza de oro (Novela histórica)," Argentina : Ed., 2006. ; 224p. ; 20cm.",ISBN : 987-04-0451-0
14,"  Haasse, Hella S.",La ciudad escarlata (Novela histórica)," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006 ",                     399p. ; 20cm.
15," Mahfuz, Naguib",Akhenatón (Novela histórica)," Argentina : Aguilar, Altea, Taurus, Alfaguara, 2006",                     174p. ; 20cm.
16," Dyer, Wayne W.",El camino de la perfección (Pensamientos que ayudan a mejorar)," España : Ed. Grijalbo, 1995. ; 180p. ; 20cm.",ISBN : 84-253-2629-X
17,El camino de la perfección (Pensamientos que ayudan a mejorar)," España : Ed. Grijalbo, 1995. ; 180p. ; 20cm.",ISBN : 84-253-2629-X,nan
18," Otero,Rodolfo",El secreto del Torreón Negro," Argentina : Ed.LOSADAS.A., 2002. ; 249p. ; 22cm.",ISBN : 950-03-7810-8  
19," Eddy, Paul",Una cara de la moneda," Argentina : HISPAMERICA, 1983. ; il, ; 396p. ; 21cm.",ISBN : 950-614-020-0
20," Sueiro, Victor",Más allá de la vida," Argentina : Ed. Planeta, 1990. ; 225p. ; 20cm.",ISBN : 950-742-021-2
